,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Port Elizabeth,1,US,1546574100,88,39.31,-74.98,37.94,5.64
1,Komsomolskiy,76,RU,1546575811,80,67.55,63.78,8.1,7.65
2,Pilar,0,AR,1546574400,72,-34.46,-58.91,71.6,6.93
3,Ushuaia,40,AR,1546574400,66,-54.81,-68.31,48.2,19.46
4,Norman Wells,75,CA,1546574160,85,65.28,-126.83,14.0,6.93
5,Provideniya,64,RU,1546575814,100,64.42,-173.23,12.92,20.29
6,Albany,90,US,1546573920,66,42.65,-73.75,35.06,2.39
7,Carnarvon,0,ZA,1546575815,58,-30.97,22.13,59.9,4.97
8,Bahia Blanca,0,AR,1546575815,83,-38.72,-62.27,63.64,4.18
9,Lebu,32,ET,1546570800,93,8.96,38.73,46.4,9.17
10,Daru,0,SL,1546575816,90,7.99,-10.85,68.58,2.84
11,Hanmer Springs,36,NZ,1546575817,40,-42.52,172.83,71.51,1.95
12,Bethel,1,US,1546574160,91,60.79,-161.76,14.0,10.29
13,Laguna,0,MX,1546575819,52,27.52,-110.01,51.49,4.07
14,Tual,76,ID,1546575820,100,-5.67,132.75,81.45,13.8
15,Anadyr,20,RU,1546574400,65,64.73,177.51,-36.41,13.42
16,Kununurra,24,AU,1546574400,83,-15.77,128.74,75.2,19.46
17,Barra,0,GM,1546570800,55,13.49,-16.54,66.2,5.82
18,Belonia,0,IN,1546575822,58,23.25,91.45,66.47,4.18
19,Georgetown,40,GY,1546574400,94,6.8,-58.16,75.2,6.93
20,Sao Gabriel da Cachoeira,80,BR,1546575823,98,-0.13,-67.09,73.9,2.17
21,Mataura,76,NZ,1546575824,71,-46.19,168.86,61.88,20.51
22,Hobart,20,AU,1546570800,53,-42.88,147.33,75.2,21.92
23,Saint-Prosper,68,CA,1546575825,91,46.21,-70.48,16.97,6.2
24,Okhotsk,0,RU,1546575825,100,59.36,143.24,-9.86,5.97
25,Bandarbeyla,100,SO,1546575826,100,9.49,50.81,76.5,16.49
26,Punta Arenas,75,CL,1546574400,81,-53.16,-70.91,50.0,10.29
27,Hilo,90,US,1546573980,64,19.71,-155.08,75.02,8.05
28,Voykove,92,UA,1546575828,98,45.38,36.44,32.18,19.84
29,Jalu,0,LY,1546575828,75,29.03,21.55,36.77,2.95
30,Saint George,90,GR,1546573800,86,39.45,22.34,33.8,9.17
31,Ostrovnoy,24,RU,1546575829,80,68.05,39.51,6.17,13.8
32,Upernavik,92,GL,1546575830,100,72.79,-56.15,15.08,11.68
33,Latung,68,ID,1546575830,89,-8.45,120.42,77.72,5.41
34,Evanston,1,US,1546574100,69,42.04,-87.69,37.04,10.29
35,Bluff,0,AU,1546575831,40,-23.58,149.07,92.07,12.91
36,Chuy,8,UY,1546575832,89,-33.69,-53.46,60.04,8.1
37,Doka,0,SD,1546575832,67,13.52,35.76,70.88,12.57
38,Mar del Plata,100,AR,1546575833,37,-46.43,-67.52,70.61,10.67
39,Ancud,75,CL,1546574400,87,-41.87,-73.83,51.8,9.17
40,Launceston,0,AU,1546574400,29,-41.43,147.14,87.8,20.8
41,Chokurdakh,56,RU,1546575835,69,70.62,147.9,-9.81,6.08
42,Montevideo,1,US,1546575360,89,44.94,-95.72,40.1,6.93
43,Uglegorsk,8,RU,1546575836,76,49.08,142.06,21.7,5.97
44,Nishihara,1,JP,1546574160,26,35.74,139.53,50.0,5.82
45,Butaritari,92,KI,1546575837,100,3.07,172.79,83.3,15.59
46,Bubaque,8,GW,1546575838,100,11.28,-15.83,77.58,10.22
47,Avera,90,US,1546575300,100,33.19,-82.53,62.6,3.74
48,Zabid,0,YE,1546575839,52,14.2,44.5,28.4,1.5
49,Rikitea,100,PF,1546575839,100,-23.12,-134.97,76.06,22.08
50,Jamestown,0,AU,1546575840,35,-33.21,138.6,92.48,13.91
51,Nikolskoye,75,RU,1546574400,92,59.7,30.79,19.4,2.24
52,Walvis Bay,0,NA,1546570800,77,-22.95,14.51,64.4,11.41
53,Santa Fe,0,AR,1546575718,87,-31.62,-60.7,60.57,6.2
54,Nosy Varika,56,MG,1546575842,100,-20.58,48.53,79.07,4.52
55,Cody,1,US,1546575300,54,44.53,-109.06,35.96,9.17
56,Hualmay,32,PE,1546575844,96,-11.1,-77.61,62.78,2.39
57,Castro,75,CL,1546574400,87,-42.48,-73.76,51.8,9.17
58,Birao,12,CF,1546575845,38,10.3,22.78,66.02,11.45
59,Lata,20,IN,1546575845,66,30.78,78.62,21.83,1.83
60,Cafarnaum,0,BR,1546575749,61,-11.69,-41.47,70.2,8.66
61,Leningradskiy,44,RU,1546575846,88,69.38,178.42,-10.26,15.26
62,Saint-Philippe,90,CA,1546574100,92,45.36,-73.48,25.34,6.93
63,Alta Floresta,20,BR,1546575848,98,-9.87,-56.08,72.45,1.95
64,Kahului,40,US,1546574160,66,20.89,-156.47,75.92,13.87
65,Machala,75,EC,1546570800,33,-3.26,-79.96,89.6,3.36
66,Kapaa,75,US,1546574160,70,22.08,-159.32,77.0,23.04
67,Arraial do Cabo,0,BR,1546575850,90,-22.97,-42.02,76.91,13.13
68,Hofn,92,IS,1546575851,88,64.25,-15.21,45.32,16.04
69,Aldan,48,RU,1546575851,59,58.61,125.39,-3.11,6.08
70,Pagudpud,75,PH,1546574400,74,18.56,120.79,84.2,8.05
71,Sakaiminato,20,JP,1546570800,37,35.55,133.23,51.8,8.05
72,Dingle,88,PH,1546575853,89,11.0,122.67,78.26,15.7
73,Aksu,90,KZ,1546574400,83,52.04,76.93,-13.01,2.24
74,Atuona,68,PF,1546575854,100,-9.8,-139.03,81.0,13.35
75,Nizwa,12,OM,1546575855,73,22.93,57.53,48.79,1.95
76,Cape Town,0,ZA,1546574400,88,-33.93,18.42,64.4,9.17
77,Yellowknife,75,CA,1546570800,77,62.45,-114.38,-0.41,11.41
78,Havre-Saint-Pierre,40,CA,1546570800,77,50.23,-63.6,3.2,6.93
79,Evensk,12,RU,1546575857,100,61.92,159.24,-3.64,8.21
80,Pevek,64,RU,1546575858,83,69.7,170.27,-9.05,17.49
81,Esperance,75,TT,1546574400,83,10.24,-61.45,75.2,7.09
82,San Felipe,0,CL,1546575859,63,-32.75,-70.73,57.79,1.5
83,Manaure,0,CO,1546575860,88,11.78,-72.45,78.04,22.75
84,Port Alfred,12,ZA,1546575860,89,-33.59,26.89,68.41,13.02
85,Northam,0,GB,1546573800,86,51.04,-4.21,30.2,6.93
86,Avarua,90,CK,1546570800,88,-21.21,-159.78,78.8,2.24
87,Dolinsk,40,RU,1546574400,63,47.32,142.8,28.4,4.47
88,Lyubytino,76,RU,1546575862,92,58.81,33.39,24.98,5.08
89,Okha,32,RU,1546575863,86,53.59,142.95,12.47,22.41
90,Faanui,8,PF,1546575863,100,-16.48,-151.75,83.57,3.85
91,Cascais,90,PT,1546574400,100,38.7,-9.42,44.6,6.93
92,Bathsheba,75,BB,1546574400,74,13.22,-59.52,78.8,17.22
93,Tura,0,IN,1546575765,83,25.52,90.21,59.45,3.29
94,Rawson,36,AR,1546575867,28,-43.3,-65.11,70.52,6.31
95,Marsa Matruh,0,EG,1546570800,70,31.35,27.25,48.2,10.29
96,Tuktoyaktuk,90,CA,1546570800,84,69.44,-133.03,5.0,8.05
97,Koster,100,ZA,1546575868,99,-25.86,26.9,61.66,3.4
